Estado;Município;Total domicílios;Total com água canalizada;Água em pelo menos um cômodo;Rede geral de distribuição;Outra forma;Água no terreno ou propriedade;Rede geral de distribuição.1;Outra forma.1;Não tinham;Código da Unidade Geográfica
Acre;Área 004;15996;13066;11999;5889;6110;1067;489;578;2930;1200401005004.0
Acre;Área 005;13146;11771;10442;8635;1807;1329;1114;214;1376;1200401005005.0
Acre;Área 006;11995;10831;9240;7947;1293;1592;1537;54;1163;1200401005006.0
Acre;Área 007;11107;5571;5257;225;5032;314;51;263;5536;1200401005007.0
Acre;Área 008;6988;2732;2124;158;1966;609;258;351;4256;1200401005008.0
Amazonas;Coari;15137;9827;8676;3643;5032;1152;354;797;5310;1301209.0
Amazonas;Área 001;7573;2693;2170;561;1610;523;61;462;4880;1301209003001.0
Amazonas;Área 002;7563;7134;6505;3082;3423;628;293;335;430;1301209003002.0
Amazonas;Humaitá;9809;7766;7138;6543;595;628;253;375;2043;1301704.0
Amazonas;Área 001;4546;4419;4266;4076;190;153;153;0;127;1301704003001.0
Amazonas;Área 002;5263;3347;2872;2467;405;475;99;375;1916;1301704003002.0
Amazonas;Iranduba;9806;7746;6324;4980;1345;1422;1013;409;2060;1301852.0
Amazonas;Área 001;4435;3550;2895;2191;704;655;385;269;885;1301852003001.0
Amazonas;Área 002;5371;4196;3429;2788;640;768;628;140;1175;1301852003002.0
Amazonas;Itacoatiara;19884;16123;14498;13556;942;1625;1093;532;3761;1301902.0
Amazonas;Área 001;4231;2391;2029;1361;667;362;89;273;1841;1301902003001.0
Amazonas;Área 002;7632;5735;5025;4805;220;710;478;232;1898;1301902003002.0
Amazonas;Área 003;8020;7998;7445;7390;55;553;526;27;22;1301902003003.0
Amazonas;Manacapuru;18207;13840;12496;9005;3491;1344;970;374;4368;1302504.0
Amazonas;Área 001;4208;4093;3742;2517;1225;351;284;67;115;1302504003001.0
Amazonas;Área 002;7022;3178;2822;2060;762;356;152;204;3844;1302504003002.0
Amazonas;Área 003;6977;6569;5932;4428;1504;637;533;104;408;1302504003003.0
Amazonas;Manaus;460767;428059;402108;325655;76453;25951;18297;7654;32708;1302603.0
Amazonas;Aleixo-Adrianópolis-Nossa Senhora das Graças;12587;12356;11839;8577;3262;517;325;192;231;1302603005008.0
Amazonas;Alvorada;16695;16695;15417;14662;756;1278;1238;40;0;1302603005005.0
Amazonas;Armando Mendes-Zumbi dos Palmares;14900;14407;13780;12602;1178;627;579;48;493;1302603005009.0
